FirstName,LastName,Department
Iwan,Meza,IT
Bradley,Seymour,Executive
Phillip,Mcdowell,Executive
Abdullah,Davenport,HR
Danni,Bate,Administrative
Agata,Moore,IT
Chance,Knight,Administrative
Darcy,Solomon,Finance
Corinne,Hilton,Finance
Hayley,Miles,Executive
Charli,Reyes,Administrative
Iwan,Meza,IT
Kaira,Fry,Administrative
Veronica,Byrd,Executive
Mccauley,Holding,CallCentre
Rudi,Khan,CallCentre
Chance,Knight,Administrative
Christiana,Nunez,CallCentre
Abubakar,Mclaughlin,Finance
Giles,Durham,CallCentre
Madelaine,Busby,Administrative
Jareth,Blake,CallCentre
Mccauley,Holding,CallCentre
